txn-1756534243212-9ur4t1l12,client-1756272833203-r5tlpg06q,,RESET,1000,1000,"Manual credit reset: Total Added = 1000, Total Used = 0",MANUAL,,2025-08-30 06:10:43.212,Sujatha Gold Covering Works,,,,
txn-1756644378780-6ao2q8rhx,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,994,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 12:46:18.78,Unknown Client,,,,
txn-1756650569127-1g04ibhsn,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1983,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 14:29:29.128,Unknown Client,,,,
txn-1756652265126-8px10a88e,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1974,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 14:57:45.126,Unknown Client,,,,
txn-1756655659106-p1k5382qj,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4995,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 15:54:19.106,Unknown Client,,,,
txn-1756655700839-sxpn7y90k,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4994,Order creation,ORDER,59,2025-08-31 15:55:00.839,Unknown Client,,,,
txn-1756656810541-724sjxc75,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4986,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:13:30.541,Unknown Client,,,,
txn-1756657588351-fg83jdix6,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4972,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:26:28.351,Unknown Client,,,,
txn-1756657602611-su5waqitn,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4971,Order creation,ORDER,70,2025-08-31 16:26:42.611,Unknown Client,,,,
txn-1756657791648-bcbs5qqz9,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4970,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:29:51.648,Unknown Client,,,,
txn-1756657816139-kviceqym8,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4969,Order creation,ORDER,71,2025-08-31 16:30:16.139,Unknown Client,,,,
txn-1756658713995-flxzax0vs,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4951,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:45:13.995,Unknown Client,,,,
txn-1756667818599-ouma7pw84,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1958,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 19:16:58.599,Unknown Client,,,,
txn-1756667910573-ehc4ls0cm,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1953,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 19:18:30.574,Unknown Client,,,,
txn-1756706954118-yu3emiykv,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4939,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 06:09:14.118,Unknown Client,,,,
txn-1756732895663-1o5ismac8,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1949,Order creation,ORDER,,2025-09-01 13:21:35.663,Unknown Client,,,,
txn-1756737463977-ar1kpwzp3,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,997,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 14:37:43.977,Unknown Client,,,,
txn-1756737483790-9a8ukb6ju,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,996,Order creation,ORDER,107,2025-09-01 14:38:03.79,Unknown Client,,,,
txn-1756740548805-2tt4gnj09,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1945,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:29:08.805,Unknown Client,,,,
txn-1756742313051-julkxpunc,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4924,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:58:33.051,Unknown Client,,,,
txn-1756743426138-reyhtvnc8,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4917,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:17:06.138,Unknown Client,,,,
txn-1756744319954-9hr9czqxn,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4908,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:31:59.954,Unknown Client,,,,
txn-1756744329221-pt7gfp1yd,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4907,Order creation,ORDER,114,2025-09-01 16:32:09.221,Unknown Client,,,,
txn-1756745534313-ax0cwbqp8,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4897,Order creation,ORDER,119,2025-09-01 16:52:14.313,Unknown Client,,,,
txn-1756745568490-5zvffkcx7,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4896,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:52:48.49,Unknown Client,,,,
txn-1756745574381-9ghtryg4j,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4895,Order creation,ORDER,120,2025-09-01 16:52:54.381,Unknown Client,,,,
txn-1756746047635-aajcw8ujf,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4889,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:00:47.635,Unknown Client,,,,
txn-1756746170098-jf4tkjf5o,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4887,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:02:50.098,Unknown Client,,,,
txn-1756746183457-oz4dpa2b1,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4886,Order creation,ORDER,124,2025-09-01 17:03:03.457,Unknown Client,,,,
txn-1756746241269-k3xv9er9y,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4885,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:04:01.269,Unknown Client,,,,
txn-1756667825057-cwldnflqo,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1957,Order creation,ORDER,,2025-08-31 19:17:05.057,Unknown Client,,,,
txn-1756644386364-gej2d5325,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,993,Order creation,ORDER,,2025-08-31 12:46:26.364,Unknown Client,,,,
txn-1756320806481-abv506lwj,master-client-1756272680179,,ADD,100,100,Initial credits added for testing,MANUAL,,2025-08-27 18:53:26.481,Legacy Client,,,,
txn-1756320806684-6rhz6m1q5,client-1756319181164-s6ds2994c,,ADD,100,100,Initial credits added for testing,MANUAL,,2025-08-27 18:53:26.684,Legacy Client,,,,
txn-1756644774861-q2ia02t53,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,992,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 12:52:54.861,Unknown Client,,,,
txn-1756650742580-de1rczom9,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1982,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 14:32:22.58,Unknown Client,,,,
txn-1756652643152-cykhc9b5o,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1972,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 15:04:03.152,Unknown Client,,,,
